study_hours,attendance,previous_score,marks
7,80.9,99,91.0
4,70.1,82,65.0
8,85.8,51,45.0
5,78.5,52,36.0
7,83.2,75,66.0
3,71.0,78,61.0
7,89.7,73,63.0
8,90.6,45,42.0
5,72.5,77,61.0
4,70.0,89,69.0
8,85.8,91,84.0
8,82.5,79,73.0
3,67.9,47,27.0
6,71.5,47,33.0
5,75.4,79,68.0
2,63.3,72,43.0
8,83.1,73,67.0
6,78.2,83,70.0
2,68.9,54,30.0
5,67.4,75,63.0
1,66.1,99,71.0
6,74.3,96,85.0
9,91.9,74,73.0
1,60.7,85,57.0
3,66.7,61,35.0
7,83.1,62,49.0
4,74.9,79,66.0
9,92.8,84,83.0
3,68.8,94,74.0
5,74.1,90,74.0
3,66.5,61,39.0
7,85.0,44,36.0
5,81.6,70,58.0
9,82.9,52,47.0
7,84.1,67,60.0
2,62.4,97,74.0
4,72.3,59,42.0
9,81.3,72,68.0
2,58.8,55,32.0
9,88.9,68,64.0
5,78.3,62,45.0
2,62.2,63,39.0
4,68.0,73,58.0
7,83.0,46,36.0
8,81.7,77,71.0
3,66.2,76,54.0
1,57.0,43,17.0
4,78.2,73,54.0
2,66.0,81,58.0
8,78.6,61,53.0
4,76.0,44,27.0
2,61.6,89,65.0
6,83.0,81,75.0
6,76.8,62,52.0
4,74.8,93,78.0
6,85.6,99,91.0
2,64.7,54,33.0
2,69.6,70,47.0
4,69.3,98,78.0
8,84.6,48,38.0
7,81.3,82,70.0
9,90.0,97,98.0
8,86.1,92,87.0
5,70.3,64,49.0
2,69.7,64,41.0
5,78.0,88,71.0
8,89.2,60,54.0
9,91.3,48,42.0
9,87.2,94,91.0
1,65.3,87,61.0
9,96.1,77,74.0
7,90.7,61,54.0
9,90.4,82,81.0
8,88.6,62,52.0
1,51.6,88,65.0
8,87.5,43,36.0
8,85.3,68,61.0
3,64.1,54,35.0
1,67.5,40,15.0
8,85.7,93,88.0
3,72.1,69,45.0
3,72.7,68,49.0
1,68.3,59,33.0
5,72.3,72,60.0
7,79.2,80,71.0
9,84.6,83,81.0
7,87.7,75,67.0
9,87.1,99,95.0
8,90.1,61,58.0
2,63.2,52,29.0
1,64.2,46,21.0
7,84.6,47,38.0
7,84.0,67,60.0
8,80.7,84,76.0
5,79.4,82,69.0
3,66.2,48,30.0
8,83.7,64,57.0
6,83.6,95,81.0
3,69.5,55,36.0
1,62.1,49,25.0
3,65.2,50,27.0
5,77.1,70,61.0
3,70.6,51,34.0
1,65.9,99,76.0
5,77.8,70,57.0
7,89.5,53,45.0
7,85.1,90,76.0
9,93.3,83,83.0
3,65.8,71,50.0
7,79.2,89,81.0
1,59.2,92,66.0
4,71.6,56,38.0
4,78.5,74,56.0
5,89.1,40,25.0
7,86.6,68,56.0
7,88.1,90,82.0
4,70.5,43,23.0
7,77.0,62,56.0
3,77.3,67,46.0
6,87.3,55,43.0
2,71.8,51,30.0
9,82.3,92,92.0
5,81.4,60,45.0
6,77.5,84,70.0
4,77.9,56,36.0
7,86.0,79,71.0
9,82.0,52,49.0
7,80.0,91,82.0
1,58.6,97,71.0
1,57.9,71,43.0
9,82.6,76,77.0
9,88.5,89,86.0
4,70.7,54,34.0
9,94.2,51,49.0
3,71.1,88,69.0
7,86.3,96,84.0
6,72.7,54,41.0
8,85.1,73,68.0
9,91.9,45,44.0
5,76.9,56,41.0
1,64.6,87,58.0
3,73.4,88,68.0
8,86.8,96,94.0
6,85.6,59,47.0
8,86.9,48,40.0
9,95.1,98,100.0
4,64.6,44,23.0
1,58.8,62,36.0
1,59.9,72,47.0
4,75.9,77,60.0
7,85.8,95,83.0
2,72.7,53,33.0
3,70.7,56,36.0
1,65.7,96,74.0
5,81.4,58,42.0
1,64.0,72,47.0
8,95.0,40,31.0
1,62.0,52,26.0
1,64.8,85,58.0
2,67.0,66,42.0
2,62.1,45,18.0
6,77.4,98,85.0
7,87.4,45,36.0
5,70.3,72,58.0
1,70.1,69,45.0
1,59.6,85,60.0
3,67.5,74,56.0
2,77.4,62,42.0
5,76.5,49,33.0
6,72.7,90,77.0
7,77.9,58,51.0
4,75.9,90,72.0
7,79.2,67,57.0
8,91.6,62,53.0
1,63.6,43,16.0
6,83.0,59,45.0
8,82.8,58,49.0
5,83.8,81,67.0
4,73.1,66,49.0
2,77.6,96,73.0
6,84.7,73,65.0
6,72.4,43,27.0
1,61.8,95,72.0
9,87.6,77,74.0
6,82.1,46,38.0
3,68.3,87,67.0
4,73.1,46,28.0
4,69.2,89,73.0
3,69.1,91,72.0
3,64.9,65,42.0
3,72.5,65,47.0
4,75.3,93,77.0
7,86.8,58,49.0
4,65.7,48,30.0
9,87.7,59,54.0
1,65.0,81,56.0
8,85.7,84,75.0
7,88.8,89,78.0
2,69.6,55,32.0
8,80.5,93,89.0
1,66.1,56,29.0
9,94.5,61,57.0
9,98.2,52,48.0
2,70.4,51,27.0
7,77.5,49,38.0
3,67.7,40,18.0
7,88.8,71,66.0
9,88.8,69,65.0
4,71.0,47,27.0
1,74.3,60,33.0
2,70.0,61,37.0
1,64.0,57,29.0
5,79.0,41,26.0
5,77.0,87,72.0
7,84.1,83,77.0
9,88.4,48,45.0
9,89.3,42,41.0
3,65.4,93,73.0
3,65.8,65,43.0
3,69.7,60,39.0
4,81.9,69,54.0
8,81.6,67,62.0
6,83.7,75,63.0
8,82.4,65,59.0
1,56.9,73,46.0
8,89.4,47,42.0
4,68.5,49,30.0
1,61.8,87,63.0
8,82.9,94,89.0
4,74.8,82,62.0
6,72.8,89,77.0
8,90.1,93,88.0
4,71.8,53,35.0
3,65.3,79,60.0
9,91.4,94,92.0
3,70.2,54,38.0
9,81.1,56,56.0
2,70.0,92,70.0
2,68.6,57,35.0
2,68.7,71,47.0
6,81.5,77,66.0
3,64.7,62,43.0
9,93.2,85,81.0
4,77.6,62,43.0
1,60.3,74,46.0
4,70.7,78,61.0
1,65.8,54,27.0
5,71.9,92,77.0
4,73.6,63,43.0
8,84.0,67,60.0
8,80.1,55,48.0
7,82.2,55,47.0
3,76.9,79,60.0
1,68.1,78,53.0
1,58.2,45,19.0
3,68.0,41,23.0
6,85.5,93,81.0
7,81.8,52,41.0
6,84.1,83,71.0
6,86.2,86,75.0
6,73.3,98,89.0
3,65.9,48,28.0
6,65.3,73,60.0
8,85.3,56,54.0
2,64.2,66,41.0
5,76.8,68,52.0
1,68.8,76,53.0
1,60.7,82,52.0
5,77.0,61,47.0
3,73.2,90,71.0
4,76.0,63,42.0
3,62.9,46,21.0
1,64.0,73,48.0
1,68.4,87,64.0
5,76.5,51,38.0
6,78.6,62,49.0
3,73.4,54,35.0
9,84.3,72,73.0
5,76.3,96,81.0
8,85.0,52,47.0
1,65.3,62,36.0
5,78.1,77,63.0
3,78.6,71,52.0
1,56.8,84,58.0
4,83.6,89,77.0
5,65.8,74,58.0
7,80.1,40,33.0
1,63.4,86,67.0
3,71.4,97,76.0
2,69.8,84,62.0
9,92.2,44,37.0
6,80.2,96,86.0
3,71.0,52,37.0
8,89.8,93,88.0
8,88.3,44,38.0
2,65.1,99,76.0
6,79.9,71,57.0
7,89.3,90,82.0
2,67.4,60,35.0
2,69.1,63,41.0
1,62.5,99,75.0
8,82.2,57,51.0
1,63.9,60,34.0
9,92.4,93,92.0
6,74.9,49,39.0
7,85.4,63,56.0
7,82.2,79,69.0
3,73.2,86,69.0
2,72.2,60,40.0
9,94.4,64,63.0
8,89.9,91,86.0
7,90.5,99,89.0
9,90.8,96,94.0
4,71.9,98,79.0
4,78.9,62,44.0
1,61.7,61,33.0
8,88.2,43,36.0
3,64.1,73,50.0
7,89.3,95,94.0
2,66.8,45,22.0
2,68.6,67,44.0
7,82.3,70,60.0
6,82.5,74,64.0
3,72.4,78,58.0
9,92.0,81,78.0
6,78.0,62,51.0
6,78.5,45,30.0
1,61.8,55,29.0
4,72.4,41,22.0
6,80.2,63,51.0
6,79.4,56,45.0
5,72.3,84,70.0
1,68.6,40,10.0
8,81.9,45,38.0
5,74.6,44,30.0
5,77.9,96,82.0
7,85.9,84,74.0
4,72.9,99,87.0
6,77.3,94,77.0
4,67.8,89,72.0
3,64.8,68,51.0
7,86.8,51,40.0
8,90.2,78,72.0
4,76.8,86,68.0
2,70.3,42,22.0
3,75.7,87,67.0
1,64.0,40,18.0
8,85.2,66,64.0
3,69.5,87,66.0
7,78.8,63,50.0
5,72.6,83,68.0
5,81.6,58,44.0
7,88.7,98,90.0
9,84.5,47,41.0
5,73.8,94,83.0
1,55.3,83,57.0
1,68.3,86,64.0
2,69.7,41,18.0
6,82.6,69,62.0
9,90.3,69,66.0
8,92.1,88,85.0
5,78.5,78,62.0
1,68.0,84,62.0
7,80.6,71,62.0
5,79.3,40,26.0
6,78.2,77,66.0
7,82.3,52,43.0
3,70.6,50,30.0
3,70.8,49,25.0
5,71.6,87,77.0
6,76.2,98,88.0
9,95.4,65,62.0
5,83.8,95,82.0
1,64.5,94,73.0
4,80.3,59,44.0
5,71.6,56,40.0
5,82.1,56,39.0
7,81.1,43,34.0
